Id,estVol
ID000BCMX94,0.24805700000000003
ID000BC6J11,0.208945
ID000BFKJL6,0.11855999999999998
ID000BL7S92,0.166151
ID000BFGNH7,0.196916
ID000BC9K88,0.250185
ID000BW6697,0.204087
ID000BD9L75,0.21588400000000002
ID000BKYTM7,0.129965
ID000BCJDC8,0.14711
IDZQ000QXG4,0.371289
ID000NPC987,0.209648
ID000BPL8W5,0.145841
ID000BDTBQ4,0.293664
ID000BFTTT7,0.21326599999999998
ID000BFXYQ4,0.340463
ID000BFTRN7,0.298898
ID000BFY1Y6,0.324133
ID000BK5WS6,0.14069700000000002
ID000BJKZ32,0.142593
ID000BFT3V1,0.334911
IDZQ000T938,0.150045
ID000F0QP26,0.174688
ID000BN4PQ8,0.173836
ID000BFT5N5,0.37206
ID000BDZS53,0.15820499999999998
ID000BCH3D1,0.179096
ID000BFT7H8,0.241912
ID000BDZVR2,0.39181900000000003
ID000BD7KN1,0.298284
ID000BRQVN5,0.3732
ID000BG37P5,0.259375
ID000BDSKH5,0.254446
ID000C0N5T7,0.253564
ID000BDR7T2,0.163051
ID000NHW8S3,0.19981
ID000FJH6R0,0.186385
ID000BMV1Z3,0.142981
ID000M7T338,0.253388
ID000BVX699,0.46693500000000004
ID000BFTN92,0.184194
ID000C3RNT8,0.292644
ID000BVM7D4,0.256114
ID000LGVDT6,0.276287
ID000CRQZQ2,0.24101999999999998
ID000CRGDK8,0.285117
ID000FDL8Z5,0.189324
ID000CQPKC3,0.305215
ID000DMZS88,0.18298599999999998
ID000F1SW54,0.361626
ID000BWV7L3,0.463438
ID000PM8N95,0.18878699999999998
ID000PK2ZM3,0.20501100000000003
ID000BMCVS6,0.5148739999999999
ID000D8S211,0.27117199999999997
ID000BM35T2,0.321274
ID000F4LHP6,0.202819
ID000C9PMR1,0.260176
ID000R51D35,0.22757800000000003
ID000KXS3S7,0.13481400000000002
ID000Q71V78,0.919567
ID000QRSLT3,0.276925
ID000BJ7WR8,0.5869850000000001
ID000J82Q56,0.223111
ID000RJ1B93,0.255938
ID000QXW3S6,0.323008
ID000C638W6,0.24747800000000003
ID000D76RK1,0.655554
ID000LZ2NG8,0.183043
ID000BTFR70,0.350493
ID000BNWF16,0.429295
ID000BD7CY7,0.232871
ID000Q908X7,0.199473
ID000BFX7V7,0.436308
ID000Q9ZVY7,0.438813
ID000PXTNF1,0.433121
ID000HNMJM0,0.26260500000000003
ID001LZ3YM4,0.292431
ID000G9S788,0.205933
ID000BYWYY5,0.322883
ID000BN07L7,0.35318099999999997
ID000Q29Z27,0.33216599999999996
ID0027Y8J58,0.198819
ID0043QHMS3,0.46130600000000005
ID002YVMSH5,0.436296
ID000BXPWF0,0.15545599999999998
ID000PN3WP0,0.26499
ID008G958C9,0.195267
ID004MDV3Z9,0.286477
ID000BPXH52,0.106129
ID000BN6DP4,0.176554
ID000BRW4V9,0.15251900000000002
ID000BD8DV7,0.18881199999999998
ID000BLBQW5,0.220313
IDZQ000CH56,0.253732
ID000BQ49H7,0.11751199999999999
ID000BSDBR7,0.0841362
ID000BQ4CR9,0.15220999999999998
ID000BQCV89,0.266888
ID000BPX479,0.185899
ID000BMVWD9,0.113008
ID000BS0RG8,0.125132
ID000BQ5YC6,0.14602
ID000BPYXW6,0.230035
ID000BD8BK3,0.134882
ID000BRV6T8,0.306795
ID000BPX7Y2,0.256945
ID000BQR198,0.11525899999999999
ID000BS0SP6,0.183396
ID000BRV5T0,0.27729499999999996
ID000BPWG46,0.120223
ID000BLSXQ9,0.161248
ID000BPWV70,0.177649
ID000BLT3C9,0.31592
ID000BPWR97,0.153648
ID000BPX2K8,0.164442
ID000BVDBF3,0.22673000000000001
ID000BRV8L2,0.156773
ID000BLQR75,0.38140300000000005
ID000BRXYH8,0.264063
ID000BPXFV7,0.273527
ID000BRW804,0.153641
ID000BRPP68,0.189426
ID000BPYTH2,0.39662
ID000BPYW94,0.175121
ID000BPXBH2,0.17054
ID000LGGPW2,0.218648
ID000C2M2P5,0.444729
ID000LFQG62,0.263179
ID000BNQJK4,0.170204
ID000BRPN09,0.26250500000000004
ID000BPWRY9,0.28726399999999996
ID000BRW733,0.207091
ID000HTDW48,0.164777
ID000C55X79,0.132046
ID000C58YM7,0.20837199999999997
ID000BPXD42,0.254103
ID000C55W71,0.292831
ID000C52T62,0.276731
ID000BRT1B1,0.202517
ID000LFQCN2,0.220602
ID000C590L1,0.300473
ID000CQ77H7,0.195957
ID000C23K94,0.25043499999999996
ID000BPXYN5,0.361521
ID000BNPK40,0.274766
ID000N61YP7,0.251747
ID000GW36J4,0.217987
ID000BV33C5,0.212894
ID000NBW9M0,0.234859
ID000BPYCJ7,0.33989899999999995
ID000C4ZS16,0.446466
ID000BPY977,0.197882
ID000BZNRC1,0.19522
ID000BL2JL3,0.23841199999999999
ID000CTKSS8,0.295656
ID000BRZ0W3,0.21942199999999998
ID000BRZ213,0.199822
ID000DLQDF5,0.333196
ID000DLTBM8,0.18321500000000002
ID000DLVF73,0.263364
ID000BD4LB5,0.25159000000000004
ID000CJKK43,0.265455
ID000C5KBR8,0.263872
ID000BV9320,0.35704400000000003
ID000DL2M25,0.270069
ID000BXB653,0.350612
ID000DCGTS7,0.299998
ID000C6TR74,0.46865500000000004
ID000FYF662,0.258173
ID000CYNCM5,0.182198
ID000BW3HQ7,0.461351
ID000N0B153,0.0899952
ID000HBS7R1,0.149922
ID000P7C1X4,0.17918299999999998
ID000FTHM66,0.265613
ID000DLWT81,0.18177100000000002
ID000GY27K7,0.314433
ID000F7XTG0,0.29836799999999997
ID000H729M9,0.125979
ID000QDB5J8,0.254842
ID000CGFXK9,0.326881
ID000KR9YG6,0.113473
ID000BJ0CP1,0.152337
ID000KWN938,0.452804
ID000DSZQ43,0.173201
ID000KWGFZ7,0.400148
ID000K8R8V8,0.241102
ID000F8Z6P6,0.382915
ID000BNL681,0.298227
ID000L0P6S4,0.372716
ID000BVSKH5,0.397679
ID000RHY8M3,0.33732399999999996
ID000TDB8V5,0.372828
ID000BMXF26,0.287735
ID000QGFZL8,0.292623
ID000CJGS32,0.270898
ID000R1V510,0.296437
ID000PJK7R3,0.249599
ID000PHC5H1,0.316979
ID000K3ZLV1,0.26066300000000003
ID000PTCFN6,0.284181
ID000HM8Y45,0.169236
ID000FFQL68,0.309128
ID000GCGPD8,0.31793699999999997
ID000RDZZ78,0.240092
ID000PH6QW5,0.398046
ID000QWL934,0.274529
ID000CXXL19,0.284593
ID000VHRCF5,0.22189899999999999
ID000Q3V483,0.32000500000000004
ID000DFMR98,0.378277
ID000PN1B23,0.26910700000000004
ID000BRP1T6,0.182666
ID000VCZST7,0.281572
ID000GM3722,0.180229
ID000GCJ6R2,0.421861
ID000K6FZ63,0.163223
ID000BWL3T5,0.314692
ID0016X5NR3,0.171416
ID000D7DPQ1,0.218611
ID000CQ79S1,0.15692799999999998
ID000BPSLM0,0.32293099999999997
ID000CV87X7,0.165851
ID001QVHGY9,0.18506199999999998
ID000CTSW29,0.271667
ID000C4N984,0.22984899999999997
ID000C37MN8,0.199787
ID000N7XDM9,0.432526
ID006KY40Q6,0.253209
ID001J2PBK8,0.43568
ID0042VJXZ9,0.287492
ID003QTQNS2,0.24454800000000002
ID008LXGBF8,0.148944
ID0015D5CK9,0.16555699999999998
ID000BJQ845,0.47303
ID000VJSQJ5,0.500011
ID000LFZVB3,0.569022
ID005KBSG05,0.530582
ID000QKB557,0.203611
ID000BHJB22,0.45347600000000005
ID000BP57F4,0.498738
